location,primary_contact_source,contact_sources,population_source
United_States_Colorado,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Connecticut,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Delaware,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_District_of_Columbia,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Florida,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Georgia,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Hawaii,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Idaho,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Illinois,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Indiana,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Iowa,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Kansas,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Kentucky,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Louisiana,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Maine,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Maryland,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Massachusetts,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Michigan,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Minnesota,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Mississippi,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Missouri,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Montana,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Nebraska,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Nevada,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_New_Hampshire,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_New_Jersey,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_New_Mexico,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_New_York,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_North_Carolina,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_North_Dakota,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Ohio,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Oklahoma,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Oregon,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Pennsylvania,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Rhode_Island,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_South_Carolina,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_South_Dakota,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Tennessee,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Texas,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Utah,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Vermont,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Virginia,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Washington,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_West_Virginia,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Wisconsin,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
United_States_Wyoming,mistry_2021,mistry_2021,https://api.census.gov/data/2023/pep/charv
Uruguay,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Uzbekistan,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Vanuatu,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Venezuela,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Vietnam,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Yemen,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Zambia,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
Zimbabwe,prem_2021,prem_2021|prem_2017,https://population.un.org/wpp/
